,add,train,test,micro,macro
0,0,social2,social3,0.7360290776919581,0.4582871061689171
1,100,social2,social3,0.8843407900999524,0.826940501359106
2,200,social2,social3,0.8860569715142429,0.8085868011036002
3,300,social2,social3,0.875854813256181,0.7476419976419977
4,400,social2,social3,0.8650749583564686,0.627777678550925
5,0,social3,social2,0.7617344658024139,0.44141364879343625
6,100,social3,social2,0.9326158165652785,0.8925434675725205
7,200,social3,social2,0.9332351497299951,0.8865143868388281
8,300,social3,social2,0.9034589571502323,0.8117428465254551
9,400,social3,social2,0.8807838867719107,0.7037901763329895
10,0,social2,traditional1,0.7527939204291461,0.5448676888549591
11,100,social2,traditional1,0.9050070191857744,0.8637439682793449
12,200,social2,traditional1,0.9018163966617575,0.8417460914314483
13,300,social2,traditional1,0.8962312854930304,0.8009899972857881
14,400,social2,traditional1,0.889493739793141,0.7146216686755055
15,0,traditional1,social2,0.983907018328118,0.9770141319760791
16,100,traditional1,social2,0.9747309312119794,0.9602087936641922
17,200,traditional1,social2,0.9651448208149239,0.936202930323756
18,300,traditional1,social2,0.907589055240062,0.8177414581503377
19,400,traditional1,social2,0.8933043004899293,0.721390986752507
20,0,social2,russian,0.7827476038338658,0.5999739175795514
21,100,social2,russian,0.7852941176470589,0.5931140129581292
22,200,social2,russian,0.8056701030927835,0.621633002947246
23,300,social2,russian,0.8081521739130436,0.5748744461920199
24,400,social2,russian,0.804022988505747,0.45141113653699466
25,0,russian,social2,0.7545820295037997,0.43184292179815353
26,100,russian,social2,0.7833411324286382,0.44137343078221636
27,200,russian,social2,0.812960235640648,0.45355479435175833
28,300,russian,social2,0.8249870934434692,0.4606650486034965
29,400,russian,social2,0.8323353293413174,0.6470410628019323
30,0,social2,fake,0.8641037103263299,0.8005139337048988
31,100,social2,fake,0.9148338792700047,0.8782880325254543
32,200,social2,fake,0.907707412862052,0.8506579604163027
33,300,social2,fake,0.9003613835828601,0.8057025100503361
34,400,social2,fake,0.894393032117583,0.7204808277541084
35,0,fake,social2,0.975860527492177,0.9659466865126349
36,100,fake,social2,0.9677117454375292,0.9498219045645313
37,200,fake,social2,0.9592538046146294,0.9264834859501108
38,300,fake,social2,0.909137842023748,0.8200232288037166
39,400,fake,social2,0.899292324442025,0.7303786813153683
40,0,social3,traditional1,0.9557443004023245,0.93517970806385
41,100,social3,traditional1,0.9705194197473093,0.9522430150208312
42,200,social3,traditional1,0.970054000981836,0.9433899857173121
43,300,social3,traditional1,0.966959215281363,0.9201586933560039
44,400,social3,traditional1,0.9629831246597712,0.8612414467253177
45,0,traditional1,social3,0.9095865515674695,0.844495096081303
46,100,traditional1,social3,0.9676344597810567,0.9443513079787482
47,200,traditional1,social3,0.9695152423788106,0.9376954021257711
48,300,traditional1,social3,0.9594950026301946,0.886637108172472
49,400,traditional1,social3,0.9583564686285397,0.7986314541917305
50,0,social3,russian,0.7987220447284346,0.5364858194252359
51,100,social3,russian,0.8598039215686275,0.6535647018865595
52,200,social3,russian,0.8881443298969072,0.6750591829472838
53,300,social3,russian,0.9103260869565217,0.6446292310015345
54,400,social3,russian,0.9304597701149425,0.4819886871092587
55,0,russian,social3,0.7723761926397091,0.46002277039848194
56,100,russian,social3,0.8162779628748215,0.5541289144968332
57,200,russian,social3,0.9000499750124937,0.7752846843204635
58,300,russian,social3,0.9216201998947924,0.7876218132849867
59,400,russian,social3,0.9294836202109938,0.7062710847937784
60,0,social3,fake,0.845775592311131,0.7179358605740291
61,100,social3,fake,0.9616284510996724,0.9391415060527171
62,200,social3,fake,0.9499263622974963,0.9110160345359235
63,300,social3,fake,0.9390810531750129,0.866775081019328
64,400,social3,fake,0.9275993467610234,0.776767546636771
65,0,fake,social3,0.7769195820081781,0.465533894394711
66,100,fake,social3,0.9419324131366016,0.9026123338510685
67,200,fake,social3,0.9460269865067467,0.895555598515311
68,300,fake,social3,0.9263545502367175,0.8242372209747721
69,400,fake,social3,0.9194891726818434,0.7067252890408728
70,0,traditional1,russian,0.8238247375627568,0.6107739180059277
71,100,traditional1,russian,0.8700980392156863,0.686586711299749
72,200,traditional1,russian,0.9,0.7156877853622571
73,300,traditional1,russian,0.9201086956521739,0.6880388359816432
74,400,traditional1,russian,0.9373563218390805,0.49283210191491583
75,0,russian,traditional1,0.8582923558337059,0.7546311434426981
76,100,russian,traditional1,0.9050070191857744,0.8342938165811227
77,200,russian,traditional1,0.9391261659302896,0.8850702533488644
78,300,russian,traditional1,0.9411461022199277,0.8634775275619372
79,400,russian,traditional1,0.9368535655960806,0.7932366137270427
80,0,traditional1,fake,0.9856951274027715,0.979625016508564
81,100,traditional1,fake,0.9751988769302761,0.9606290946544543
82,200,traditional1,fake,0.9734904270986745,0.9498222763948748
83,300,traditional1,fake,0.9690242643262778,0.9242791468601451
84,400,traditional1,fake,0.9657049537289059,0.8682132937965243
85,0,fake,traditional1,0.9347340187751453,0.9015300437051974
86,100,fake,traditional1,0.9700514740290126,0.9525861829880466
87,200,fake,traditional1,0.9646539027982326,0.934909729988816
88,300,fake,traditional1,0.9628291171915333,0.9115269255949208
89,400,fake,traditional1,0.9608056614044638,0.8540982738536483
90,0,russian,fake,0.7554760840411265,0.4356723406629947
91,100,russian,fake,0.788020589611605,0.4732113851001134
92,200,russian,fake,0.8757977417771232,0.7225024270759914
93,300,russian,fake,0.9246257098606092,0.8404340074027263
94,400,russian,fake,0.869352204681546,0.6901669758812616
