,add,train,test,micro,macro
0,0,social2,social3,0.7905497501135847,0.4560406363502339
1,100,social2,social3,0.9762018086625417,0.9571469364444807
2,200,social2,social3,0.9820089955022488,0.960215172535678
3,300,social2,social3,0.9868490268279853,0.9586343819006162
4,400,social2,social3,0.9894503053858967,0.9298792420507336
5,0,social3,social2,0.8466696468484578,0.7000511713309198
6,100,social3,social2,0.9915769770706598,0.9862385911889204
7,200,social3,social2,0.9921453117329406,0.9845757770794684
8,300,social3,social2,0.9912235415591121,0.9770607146713481
9,400,social3,social2,0.9918345127925966,0.9626217286382264
10,0,social2,traditional1,0.7912382655341976,0.5090224288251504
11,100,social2,traditional1,0.9850257370145064,0.9750566099400052
12,200,social2,traditional1,0.9891998036327934,0.9784407942085434
13,300,social2,traditional1,0.9901910170366546,0.9736898355963235
14,400,social2,traditional1,0.9923788786064235,0.9646458814472672
15,0,traditional1,social2,0.7764863656683058,0.4467363130923409
16,100,traditional1,social2,0.9925128685072532,0.9877676366123738
17,200,traditional1,social2,0.9926362297496318,0.9855202268995372
18,300,traditional1,social2,0.9938048528652556,0.9836337520419085
19,400,traditional1,social2,0.9923788786064235,0.9649591794469333
20,0,social2,russian,0.7914194431766317,0.44393240911511744
21,100,social2,russian,0.9308823529411766,0.841750754687812
22,200,social2,russian,0.9536082474226805,0.8687218045112781
23,300,social2,russian,0.9614130434782607,0.8215200578174461
24,400,social2,russian,0.9741379310344828,0.5342584716777997
25,0,russian,social2,0.7800625838176128,0.516933173218725
26,100,russian,social2,0.9747309312119794,0.9597038003396952
27,200,russian,social2,0.9759450171821306,0.9547565808589056
28,300,russian,social2,0.9778007227671657,0.9449844215771559
29,400,russian,social2,0.974959172563963,0.8990321655594322
30,0,social2,fake,0.8439874832364775,0.6894643578081091
31,100,social2,fake,0.9887693027608797,0.98140218961586
32,200,social2,fake,0.9887088856161022,0.9773034342537883
33,300,social2,fake,0.9917398038203408,0.9776971790443293
34,400,social2,fake,0.9929232444202504,0.9664189440971953
35,0,fake,social2,0.7983907018328119,0.5375830346842402
36,100,fake,social2,0.9939167056621432,0.9900326957430237
37,200,fake,social2,0.9945999018163967,0.9893236195917083
38,300,fake,social2,0.9953536396489416,0.9876455368235004
39,400,fake,social2,0.995100707675558,0.9769629174452289
40,0,social3,traditional1,0.9834599910594546,0.9758098903876982
41,100,social3,traditional1,0.9873654656059897,0.9790978444323771
42,200,social3,traditional1,0.9887088856161022,0.9776155236493993
43,300,social3,traditional1,0.9876097057305111,0.9672675040838168
44,400,social3,traditional1,0.9896570495372891,0.9530674949743507
45,0,traditional1,social3,0.8005452067242163,0.5038814498071214
46,100,traditional1,social3,0.9790575916230366,0.9623752543752544
47,200,traditional1,social3,0.9855072463768116,0.967792889670847
48,300,traditional1,social3,0.988427143608627,0.9630931117496311
49,400,traditional1,social3,0.991671293725708,0.9430909722880525
50,0,social3,russian,0.7991784573254221,0.48901534586501233
51,100,social3,russian,0.9338235294117647,0.8504943620522771
52,200,social3,russian,0.954639175257732,0.873417346094415
53,300,social3,russian,0.9576086956521739,0.8161423718043976
54,400,social3,russian,0.9689655172413794,0.526592635885447
55,0,russian,social3,0.7778282598818719,0.4641449407406854
56,100,russian,social3,0.9623988576868158,0.9348653681259063
57,200,russian,social3,0.967016491754123,0.9306521739130434
58,300,russian,social3,0.9689637033140452,0.9105950155639078
59,400,russian,social3,0.9705719044975014,0.8408387177456333
60,0,social3,fake,0.8788556101922217,0.7817839858464672
61,100,social3,fake,0.9864295741693964,0.9777225631795556
62,200,social3,fake,0.9862542955326461,0.9729344458954657
63,300,social3,fake,0.9881259679917398,0.9686986446220138
64,400,social3,fake,0.9885683179096353,0.9481272312874403
65,0,fake,social3,0.7891867333030441,0.44944149739077927
66,100,fake,social3,0.9785816277962874,0.9612101593319015
67,200,fake,social3,0.9835082458770614,0.9631071085567171
68,300,fake,social3,0.9879011046817464,0.96152245176336
69,400,fake,social3,0.9894503053858967,0.9289113900909305
70,0,traditional1,russian,0.7982656321314469,0.47913466461853566
71,100,traditional1,russian,0.9348039215686275,0.8522202099701792
72,200,traditional1,russian,0.9541237113402062,0.8704841803319884
73,300,traditional1,russian,0.9619565217391305,0.8293397781417116
74,400,traditional1,russian,0.9729885057471265,0.5323623762715934
75,0,russian,traditional1,0.8632096557890031,0.7604844601573719
76,100,russian,traditional1,0.9714553111839027,0.9544386786633128
77,200,russian,traditional1,0.9754540991654393,0.9533003814833836
78,300,russian,traditional1,0.9726381001548787,0.9324568911919144
79,400,russian,traditional1,0.9744148067501361,0.8972283226501448
80,0,traditional1,fake,0.9606616003576218,0.9398902698794238
81,100,traditional1,fake,0.9915769770706598,0.9861326215423484
82,200,traditional1,fake,0.990672557682867,0.9815084760581994
83,300,traditional1,fake,0.9912235415591121,0.9765620718248758
84,400,traditional1,fake,0.9907457811649428,0.9572611206074233
85,0,fake,traditional1,0.9740724184175235,0.9612443993070077
86,100,fake,traditional1,0.988301357042583,0.9805321562864281
87,200,fake,traditional1,0.9901816396661758,0.9804007220077666
88,300,fake,traditional1,0.9912235415591121,0.9763555407478999
89,400,fake,traditional1,0.9907457811649428,0.9568770410875673
90,0,russian,fake,0.8484577559231113,0.7252544684828623
91,100,russian,fake,0.9728591483387927,0.9569537481836292
92,200,russian,fake,0.9725085910652921,0.9478305728429209
93,300,russian,fake,0.9726381001548787,0.9324568911919144
94,400,russian,fake,0.9744148067501361,0.8956443017672022
95,0,fake,russian,0.8251939753537197,0.5909597629461515
96,100,fake,russian,0.9284313725490196,0.8341792138322062
97,200,fake,russian,0.9505154639175258,0.8606234228085459
98,300,fake,russian,0.9619565217391305,0.8293397781417116
99,400,fake,russian,0.9735632183908046,0.5332944606413995
100,0,social2,social2,0.9970238095238095,0.9956882723574627
101,100,social2,social2,0.9974014724989173,0.9875015336648454
102,200,social2,social2,0.9972838388411046,0.9857715198515962
103,300,social2,social2,0.9971550497866287,0.9818166664750716
104,400,social2,social2,0.9970134395221503,0.9774876736889287
105,0,social3,social3,0.9803625377643505,0.9700058900820081
106,100,social3,social3,0.9930404523705959,0.9636849005639186
107,200,social3,social3,0.9959072305593452,0.9753701447475349
108,300,social3,social3,0.9957122439256789,0.9682769182716285
109,400,social3,social3,0.9949974987493747,0.9577264037625404
110,0,traditional1,traditional1,0.9925595238095238,0.9892974202323352
111,100,traditional1,traditional1,0.996102208748376,0.9813215407639104
112,200,traditional1,traditional1,0.9972838388411046,0.9857715198515962
113,300,traditional1,traditional1,0.9976292081555239,0.9847623754221233
114,400,traditional1,traditional1,0.9975111996017919,0.9811076609422283
115,0,russian,russian,0.9453717754172989,0.9111460674157303
116,100,russian,russian,0.9728070175438597,0.8493452015551463
117,200,russian,russian,0.9834862385321101,0.8999408416800962
118,300,russian,russian,0.9802884615384615,0.8643055924617047
119,400,russian,russian,0.9787878787878788,0.8377948209813453
120,0,fake,fake,0.9895833333333334,0.9848726037837786
121,100,fake,fake,0.9952360329146817,0.97700084665571
122,200,fake,fake,0.9981892258940697,0.9904326735674998
123,300,fake,fake,0.9981033665244191,0.987741222971402
124,400,fake,fake,0.9975111996017919,0.9811076609422283
