,add,train,test,micro,macro
0,0,social2,social3,0.9041344843253066,0.842332941891016
1,100,social2,social3,0.8538791051880057,0.6712242812250713
2,200,social2,social3,0.8920539730134932,0.8174886831970812
3,300,social2,social3,0.8600736454497633,0.7324280676800901
4,400,social2,social3,0.7701277068295391,0.5476828889514399
5,0,social3,social2,0.7264193115780061,0.43317567097588366
6,100,social3,social2,0.9293401965372017,0.8880322974081919
7,200,social3,social2,0.8041237113402062,0.7347037232280271
8,300,social3,social2,0.862157976251936,0.7576463752088229
9,400,social3,social2,0.8606423516603157,0.6783101212137795
10,0,social2,traditional1,0.8144836835046938,0.7163000605382186
11,100,social2,traditional1,0.8661675245671503,0.8212775986862113
12,200,social2,traditional1,0.8409425625920471,0.7725496953489013
13,300,social2,traditional1,0.8456375838926175,0.7366786196386101
14,400,social2,traditional1,0.8682634730538922,0.6888062250795215
15,0,traditional1,social2,0.7402771569065713,0.4368742702030542
16,100,traditional1,social2,0.9237248479176415,0.890104096831033
17,200,traditional1,social2,0.979381443298969,0.9608729296321907
18,300,traditional1,social2,0.87248322147651,0.7702799964469285
19,400,traditional1,social2,0.8013064779531845,0.6171808851077338
20,0,social2,russian,0.7822911912368782,0.4587307629561151
21,100,social2,russian,0.7215686274509804,0.5426268954584783
22,200,social2,russian,0.10979381443298969,0.10584022937000379
23,300,social2,russian,0.06032608695652174,0.060179239962765925
24,400,social2,russian,0.3689655172413793,0.2709486078526847
25,0,russian,social2,0.9231113097898972,0.899344948464396
26,100,russian,social2,0.86055217594759,0.8142432940133244
27,200,russian,social2,0.976926853215513,0.9563824480116995
28,300,russian,social2,0.4553433144037171,0.4184300584121292
29,400,russian,social2,0.8323353293413174,0.6470410628019323
30,0,social2,fake,0.9521680822530174,0.9353881652629497
31,100,social2,fake,0.9064108563406644,0.8683532887652438
32,200,social2,fake,0.8978890525282278,0.8379281537176275
33,300,social2,fake,0.8729994837377387,0.7686173622198655
34,400,social2,fake,0.9461077844311377,0.8164173816135742
35,0,fake,social2,0.97362539114886,0.9626663083679257
36,100,fake,social2,0.8502573701450632,0.8057405176919756
37,200,fake,social2,0.8517427589592537,0.4599681866383881
38,300,fake,social2,0.9272070211667527,0.8480627960602258
39,400,fake,social2,0.9210669569951007,0.766864501944364
40,0,social3,traditional1,0.9307107733571748,0.9081862727574834
41,100,social3,traditional1,0.8666354702854469,0.6853919525178406
42,200,social3,traditional1,0.7869415807560137,0.700354263773987
43,300,social3,traditional1,0.5761486835312338,0.5068744916498005
44,400,social3,traditional1,0.9793140990745781,0.9096713250517598
45,0,traditional1,social3,0.9513857337573831,0.9264242268603261
46,100,traditional1,social3,0.8243693479295574,0.47731984409984246
47,200,traditional1,social3,0.8810594702648675,0.613372885979269
48,300,traditional1,social3,0.9421357180431352,0.8353257103257103
49,400,traditional1,social3,0.9544697390338701,0.7829482657260436
50,0,social3,russian,0.7571884984025559,0.4417224810716366
51,100,social3,russian,0.5617647058823529,0.41796206298326033
52,200,social3,russian,0.7201030927835051,0.46833890606270895
53,300,social3,russian,0.6320652173913044,0.40607664342332683
54,400,social3,russian,0.35344827586206895,0.26251158977635736
55,0,russian,social3,0.6524307133121309,0.40580207271329793
56,100,russian,social3,0.361732508329367,0.30422990157764696
57,200,russian,social3,0.8435782108945528,0.47294114280953653
58,300,russian,social3,0.6864807995791689,0.4242063879266885
59,400,russian,social3,0.11438089950027762,0.11118471678129864
60,0,social3,fake,0.8962896736700938,0.8321244193719513
61,100,social3,fake,0.9181094992980814,0.8835648233912112
62,200,social3,fake,0.9725085910652921,0.9476964272613895
63,300,social3,fake,0.9158492514197212,0.8270369913855677
64,400,social3,fake,0.7223734349482853,0.4305932376451368
65,0,fake,social3,0.7891867333030441,0.4432028333158868
66,100,fake,social3,0.8524512137077582,0.685393963984852
67,200,fake,social3,0.9025487256371814,0.8091023438833934
68,300,fake,social3,0.9037348763808521,0.5193665109608857
69,400,fake,social3,0.8945030538589671,0.6666374405736107
70,0,traditional1,russian,0.8069374714742127,0.5702537089545836
71,100,traditional1,russian,0.8519607843137255,0.48203500181600506
72,200,traditional1,russian,0.8185567010309278,0.6832323952024699
73,300,traditional1,russian,0.8364130434782607,0.5787901396250149
74,400,traditional1,russian,0.9701149425287356,0.5109294934163586
75,0,russian,traditional1,0.7411712114438981,0.575303998832697
