SVM,No add,Add 10000,Add 20000,Add 30000,Add 40000
G+S2->G+S2,0.54,0.43,0.48,0.69,0.53
G+S3->G+S2,0.42,0.43,0.43,0.43,0.42
G+T1->G+S2,0.83,0.81,0.78,0.77,0.87
G+F->G+S2,0.59,0.78,0.48,0.63,0.73
G+S2->G+S3,0.43,0.78,0.42,0.58,0.46
G+S3->G+S3,0.43,0.78,0.41,0.73,0.45
G+T1->G+S3,0.75,0.62,0.77,0.80,0.80
G+F->G+S3,0.82,0.70,0.48,0.79,0.81
G+S2->G+T1,0.42,0.56,0.41,0.40,0.43
G+S3->G+T1,0.41,0.54,0.41,0.41,0.42
G+T1->G+T1,0.81,0.81,0.82,0.86,0.83
G+F->G+T1,0.60,0.59,0.62,0.44,0.56
G+S2->G+F,0.74,0.59,0.46,0.46,0.58
G+S3->G+F,0.53,0.56,0.44,0.70,0.54
G+T1->G+F,0.82,0.74,0.83,0.71,0.76
G+F->G+F,0.76,0.76,0.78,0.83,0.79
,,,,,
RF,No add,Add 10000,Add 20000,Add 30000,Add 40000
G+S2->G+S2,0.96,0.97,0.96,0.97,0.98
G+S3->G+S2,0.96,0.96,0.96,0.96,0.95
G+T1->G+S2,0.95,0.95,0.95,0.95,0.95
G+F->G+S2,0.95,0.94,0.94,0.95,0.94
G+S2->G+S3,0.95,0.96,0.96,0.96,0.96
G+S3->G+S3,0.96,0.96,0.96,0.97,0.97
G+T1->G+S3,0.95,0.95,0.95,0.95,0.95
G+F->G+S3,0.94,0.95,0.95,0.95,0.91
G+S2->G+T1,0.56,0.56,0.56,0.56,0.56
G+S3->G+T1,0.56,0.55,0.57,0.55,0.57
G+T1->G+T1,0.96,0.99,0.99,0.99,0.99
G+F->G+T1,0.86,0.9,0.81,0.69,0.87
G+S2->G+F,0.75,0.75,0.75,0.74,0.75
G+S3->G+F,0.74,0.75,0.76,0.74,0.75
G+T1->G+F,0.78,0.78,0.78,0.78,0.78
G+F->G+F,0.99,0.99,0.99,0.99,0.99
,,,,,
GDB,No add,Add 10000,Add 20000,Add 30000,Add 40000
G+S2->G+S2,0.99,0.99,0.99,0.99,0.99
G+S3->G+S2,0.99,0.99,0.99,0.99,0.99
G+T1->G+S2,0.79,0.79,0.79,0.79,0.79
G+F->G+S2,0.91,0.91,0.91,0.91,0.91
G+S2->G+S3,0.99,0.99,0.99,0.99,0.99
G+S3->G+S3,0.99,0.99,0.99,0.99,0.99
G+T1->G+S3,0.79,0.79,0.79,0.8,0.8
G+F->G+S3,0.91,0.91,0.91,0.91,0.91
G+S2->G+T1,0.6,0.6,0.6,0.6,0.6
G+S3->G+T1,0.6,0.6,0.6,0.6,0.6
G+T1->G+T1,0.99,0.99,1,1,0.99
G+F->G+T1,0.8,0.86,0.86,0.86,0.86
G+S2->G+F,0.69,0.69,0.69,0.69,0.69
G+S3->G+F,0.69,0.69,0.69,0.69,0.69
G+T1->G+F,0.73,0.73,0.73,0.73,0.73
G+F->G+F,0.99,0.99,0.99,0.99,0.99
,,,,,
LR,No add,Add 10000,Add 20000,Add 30000,Add 40000
G+S2->G+S2,0.85,0.84,0.83,0.82,0.8
G+S3->G+S2,0.85,0.85,0.85,0.85,0.85
G+T1->G+S2,0.69,0.69,0.69,0.69,0.69
G+F->G+S2,0.84,0.84,0.84,0.84,0.84
G+S2->G+S3,0.85,0.85,0.85,0.85,0.85
G+S3->G+S3,0.85,0.84,0.83,0.82,0.8
G+T1->G+S3,0.69,0.69,0.69,0.69,0.69
G+F->G+S3,0.84,0.84,0.84,0.84,0.84
G+S2->G+T1,0.82,0.82,0.82,0.82,0.82
G+S3->G+T1,0.82,0.82,0.82,0.82,0.82
G+T1->G+T1,0.94,0.95,0.95,0.94,0.95
G+F->G+T1,0.82,0.82,0.82,0.82,0.82
G+S2->G+F,0.82,0.82,0.82,0.82,0.82
G+S3->G+F,0.82,0.82,0.82,0.82,0.82
G+T1->G+F,0.88,0.88,0.88,0.88,0.88
G+F->G+F,0.99,0.87,0.9,0.86,0.85
