,add,train,test,micro,macro
0,0,social2,social3,0.535785288270378,0.350803615475073
1,5,social2,social3,0.866133866133866,0.860625519534497
2,10,social2,social3,0.873493975903614,0.86784051896628
3,15,social2,social3,0.867810292633703,0.861718524483472
4,20,social2,social3,0.86815415821501,0.861636442141623
5,0,social3,social2,0.727447216890595,0.69867220593027
6,5,social3,social2,0.934426229508197,0.933746984057786
7,10,social3,social2,0.960271317829457,0.959999962185633
8,15,social3,social2,0.966893865628043,0.966643357712207
9,20,social3,social2,0.953033268101761,0.952502856257625
10,0,social2,traditional1,0.580614203454894,0.472922934104081
11,5,social2,traditional1,0.664092664092664,0.611236914636198
12,10,social2,traditional1,0.694634146341463,0.652745080848457
13,15,social2,traditional1,0.781925343811395,0.764077317198442
14,20,social2,traditional1,0.86039603960396,0.854274899693119
15,0,traditional1,social2,0.736084452975048,0.715702489178241
16,5,traditional1,social2,0.811957569913211,0.804075166770823
17,10,traditional1,social2,0.840116279069767,0.834925620555774
18,15,traditional1,social2,0.909444985394352,0.908233530776658
19,20,traditional1,social2,0.903131115459883,0.901888856242709
20,0,social2,russian,0.576470588235294,0.368001693248853
21,5,social2,russian,0.925566343042071,0.921208911006954
22,10,social2,russian,0.921908893709328,0.917010456202463
23,15,social2,russian,0.928026172300982,0.92350219930229
24,20,social2,russian,0.928728070175439,0.92393202643901
25,0,russian,social2,0.530710172744722,0.380572456676736
26,5,russian,social2,0.945998071359691,0.945632798573975
27,10,russian,social2,0.828488372093023,0.821584954313035
28,15,russian,social2,0.974683544303797,0.974615940375694
29,20,russian,social2,0.967710371819961,0.967587204413199
30,0,social2,fake,0.517274472168906,0.342702173953937
31,5,social2,fake,0.5274831243973,0.385104457094176
32,10,social2,fake,0.532945736434108,0.369029920796399
33,15,social2,fake,0.552093476144109,0.406244972651223
34,20,social2,fake,0.853228962818004,0.848421926910299
35,0,fake,social2,0.836852207293666,0.832498061539043
36,5,fake,social2,0.89778206364513,0.896371171497311
37,10,fake,social2,0.916666666666667,0.915876795219824
38,15,fake,social2,0.929892891918208,0.92938614920356
39,20,fake,social2,0.934442270058708,0.93396372894596
40,0,social3,traditional1,0.531669865642994,0.371519538047777
41,5,social3,traditional1,0.718146718146718,0.685453448957099
42,10,social3,traditional1,0.767804878048781,0.748349494532701
43,15,social3,traditional1,0.926326129666012,0.92530545519648
44,20,social3,traditional1,0.935643564356436,0.934737593432604
45,0,traditional1,social3,0.540755467196819,0.388483642793988
46,5,traditional1,social3,0.928071928071928,0.927040816326531
47,10,traditional1,social3,0.929718875502008,0.928500814262098
48,15,traditional1,social3,0.9313824419778,0.930199701690421
49,20,traditional1,social3,0.936105476673428,0.934921378261238
50,0,social3,russian,0.578609625668449,0.368875320367858
51,5,social3,russian,0.81445523193096,0.788815894039735
52,10,social3,russian,0.849240780911063,0.832814784955705
53,15,social3,russian,0.934569247546347,0.930377696567223
54,20,social3,russian,0.926535087719298,0.921310360725237
55,0,russian,social3,0.531809145129225,0.350989966784234
56,5,russian,social3,0.855144855144855,0.848738751413401
57,10,russian,social3,0.930722891566265,0.9293468147775
58,15,russian,social3,0.924318869828456,0.922544318822486
59,20,russian,social3,0.924949290060852,0.923171204259047
60,0,social3,fake,0.521113243761996,0.347929194439393
61,5,social3,fake,0.539054966248795,0.398707858626245
62,10,social3,fake,0.562984496124031,0.429633723559262
63,15,social3,fake,0.713729308666017,0.678258145363408
64,20,social3,fake,0.941291585127202,0.940746753246753
65,0,fake,social3,0.52286282306163,0.354300385109114
66,5,fake,social3,0.914085914085914,0.912634976049363
67,10,fake,social3,0.914658634538153,0.913109253874726
68,15,fake,social3,0.938446014127144,0.937678160706241
69,20,fake,social3,0.935091277890467,0.934211843202669
70,0,traditional1,russian,0.845989304812834,0.833613445378151
71,5,traditional1,russian,0.81445523193096,0.793230625583567
72,10,traditional1,russian,0.839479392624729,0.824422530571911
73,15,traditional1,russian,0.850599781897492,0.837097847101828
74,20,traditional1,russian,0.949561403508772,0.947563932705047
