,add,train,test,micro,macro
0,0,social2,social3,0.5427435387673957,0.3652230690304137
1,5,social2,social3,0.6803196803196803,0.6206501245866849
2,10,social2,social3,0.9538152610441767,0.9530396706955082
3,15,social2,social3,0.9535822401614532,0.952730839741516
4,20,social2,social3,0.9533468559837728,0.9524147250386088
5,0,social3,social2,0.5211132437619962,0.34616463143969833
6,5,social3,social2,0.5274831243972999,0.3560997739322608
7,10,social3,social2,0.5397286821705426,0.37736172590960193
8,15,social3,social2,0.5520934761441091,0.4000558772731891
9,20,social3,social2,0.5636007827788649,0.4203962259352509
10,0,social2,traditional1,0.5662188099808061,0.44434534343219834
11,5,social2,traditional1,0.5781853281853282,0.46349550574447035
12,10,social2,traditional1,0.5863414634146341,0.47199354631780494
13,15,social2,traditional1,0.6149312377210217,0.5193300955905026
14,20,social2,traditional1,0.6316831683168317,0.5444360377138867
15,0,traditional1,social2,0.5211132437619962,0.40456665555864746
16,5,traditional1,social2,0.5371263259402121,0.4303293322712665
17,10,traditional1,social2,0.5416666666666666,0.4392741082290019
18,15,traditional1,social2,0.5452775073028238,0.4497025397426409
19,20,traditional1,social2,0.5538160469667319,0.4631487275424959
20,0,social2,russian,0.5775401069518716,0.36843878306579725
21,5,social2,russian,0.5825242718446602,0.370488782824605
22,10,social2,russian,0.7939262472885033,0.7601483087977567
23,15,social2,russian,0.8833151581243184,0.872417806037201
24,20,social2,russian,0.8980263157894738,0.8890805492092595
25,0,russian,social2,0.5201535508637236,0.3421717171717172
26,5,russian,social2,0.5226615236258437,0.3432552248258391
27,10,russian,social2,0.5251937984496124,0.34434561626429483
28,15,russian,social2,0.5277507302823758,0.3454429572976418
29,20,russian,social2,0.5303326810176126,0.34654731457800514
30,0,social2,fake,0.5201535508637236,0.3475004633873869
31,5,social2,fake,0.5226615236258437,0.34864536660943846
32,10,social2,fake,0.5261627906976745,0.35201765795795836
33,15,social2,fake,0.5345666991236612,0.36648134956277545
34,20,social2,fake,0.5469667318982387,0.38953430616818235
35,0,fake,social2,0.5969289827255279,0.5495306324110671
36,5,fake,social2,0.600771456123433,0.5554830773818399
37,10,fake,social2,0.6153100775193798,0.5752315882782896
38,15,fake,social2,0.626095423563778,0.5899278780165206
39,20,fake,social2,0.6340508806262231,0.6005426035775049
40,0,social3,traditional1,0.5211132437619962,0.34616463143969833
41,5,social3,traditional1,0.5231660231660231,0.34709103249082734
42,10,social3,traditional1,0.5287804878048781,0.34959621955881715
43,15,social3,traditional1,0.5402750491159135,0.36932901258101414
44,20,social3,traditional1,0.5495049504950495,0.38271936599617185
45,0,traditional1,social3,0.5168986083499006,0.371395510298542
46,5,traditional1,social3,0.5814185814185814,0.49094508306055107
47,10,traditional1,social3,0.9036144578313253,0.9025519771708113
48,15,traditional1,social3,0.9122098890010091,0.9113067738182312
49,20,traditional1,social3,0.9117647058823528,0.9107526132186676
50,0,social3,russian,0.5786096256684492,0.36653116531165314
51,5,social3,russian,0.5836030204962244,0.36852861035422346
52,10,social3,russian,0.8004338394793927,0.768160623602661
53,15,social3,russian,0.8724100327153762,0.8590833568656295
54,20,social3,russian,0.8947368421052632,0.8849495655647658
55,0,russian,social3,0.5387673956262425,0.3501291989664083
56,5,russian,social3,0.6423576423576424,0.5562239944521498
57,10,russian,social3,0.9307228915662651,0.9289576758355413
58,15,russian,social3,0.9313824419778002,0.9295222556894244
59,20,russian,social3,0.9310344827586207,0.9290226964769648
60,0,social3,fake,0.5201535508637236,0.3439642189774405
61,5,social3,fake,0.5226615236258437,0.3450685087060091
62,10,social3,fake,0.5251937984496124,0.34618010302240426
63,15,social3,fake,0.5277507302823758,0.34729908049622016
64,20,social3,fake,0.5303326810176126,0.3484255210630057
65,0,fake,social3,0.49403578528827036,0.3580604437691417
66,5,fake,social3,0.5364635364635365,0.4402537552303273
67,10,fake,social3,0.8795180722891566,0.8788493117359661
68,15,fake,social3,0.8809283551967709,0.8802051319876414
69,20,fake,social3,0.8803245436105477,0.8794910675814525
70,0,traditional1,russian,0.8385026737967916,0.8290376290376291
71,5,traditional1,russian,0.8425026968716289,0.833011716398022
72,10,traditional1,russian,0.8893709327548807,0.8848854289071679
73,15,traditional1,russian,0.9073064340239911,0.9040073202962109
74,20,traditional1,russian,0.9232456140350878,0.9208081930771674
75,0,russian,traditional1,0.5383877159309021,0.38293474179270776
76,5,russian,traditional1,0.5424710424710425,0.38679240570820617
77,10,russian,traditional1,0.5482926829268293,0.39011695823764586
78,15,russian,traditional1,0.5726915520628684,0.4361173682675791
79,20,russian,traditional1,0.5801980198019802,0.4453539456233422
80,0,traditional1,fake,0.8205374280230326,0.8167912949209402
81,5,traditional1,fake,0.8273866923818708,0.8238959521010802
82,10,traditional1,fake,0.8362403100775194,0.833214593436186
83,15,traditional1,fake,0.8471275559883155,0.8445597003774203
84,20,traditional1,fake,0.8551859099804305,0.853092463092463
85,0,fake,traditional1,0.8953934740882917,0.8953231923394176
86,5,fake,traditional1,0.8947876447876448,0.8946933560874166
87,10,fake,traditional1,0.8946341463414634,0.8944966719275371
88,15,fake,traditional1,0.8968565815324165,0.8967201472527792
89,20,fake,traditional1,0.8960396039603961,0.8958328217469245
90,0,russian,fake,0.5201535508637236,0.3421717171717172
91,5,russian,fake,0.5226615236258437,0.3432552248258391
92,10,russian,fake,0.5251937984496124,0.34434561626429483
93,15,russian,fake,0.5277507302823758,0.3454429572976418
94,20,russian,fake,0.5303326810176126,0.34654731457800514
95,0,fake,russian,0.8759358288770054,0.8730487953330275
96,5,fake,russian,0.8748651564185544,0.8715465257403886
97,10,fake,russian,0.8741865509761388,0.8705758209417596
98,15,fake,russian,0.8713195201744819,0.867433597961384
99,20,fake,russian,0.8771929824561403,0.8736842105263158
100,0,social2,social2,0.9968051118210862,0.9967987072095568
101,5,social2,social2,0.9952941176470588,0.991862057080489
102,10,social2,social2,0.9964497041420118,0.9937731664001532
103,15,social2,social2,0.9964285714285714,0.9936615732880589
104,20,social2,social2,0.9964071856287425,0.9935452950225334
105,0,social3,social3,0.9537953795379538,0.9530959752321981
106,5,social3,social3,0.9833333333333333,0.9681473456121343
107,10,social3,social3,0.9844311377245509,0.9701080296634088
108,15,social3,social3,0.9843373493975903,0.9692889203874321
109,20,social3,social3,0.9842424242424243,0.9686312704554828
110,0,traditional1,traditional1,0.9361022364217252,0.9359918200408999
111,5,traditional1,traditional1,0.9211764705882353,0.8776455523782309
112,10,traditional1,traditional1,0.9348341232227488,0.8975852445091616
113,15,traditional1,traditional1,0.9354066985645934,0.8961490683229814
114,20,traditional1,traditional1,0.9350180505415162,0.8944975266612748
115,0,russian,russian,0.9608540925266904,0.9592350807781075
116,5,russian,russian,0.9877750611246944,0.9741374949413193
117,10,russian,russian,0.988929889298893,0.9764351620746847
118,15,russian,russian,0.9888613861386139,0.9760460895372929
119,20,russian,russian,0.9887920298879203,0.9754471793303776
120,0,fake,fake,0.8753993610223643,0.8745336252351146
121,5,fake,fake,0.8788235294117647,0.8135214519554155
122,10,fake,fake,0.8982248520710059,0.8494397759103641
123,15,fake,fake,0.8988095238095238,0.8488284202569916
124,20,fake,fake,0.8982035928143712,0.8473330881198362
