,add,train,test,micro,macro
0,0,social2,social3,0.9572564612326043,0.9570660227264833
1,5,social2,social3,0.957042957042957,0.9568195566488131
2,10,social2,social3,0.9568273092369479,0.9565677267827282
3,15,social2,social3,0.9566094853683148,0.956310356105508
4,20,social2,social3,0.9563894523326572,0.956047259718005
5,0,social3,social2,0.5326295585412668,0.3719900746873588
6,5,social3,social2,0.9045323047251688,0.9028111613376566
7,10,social3,social2,0.9738372093023255,0.9737514165700307
8,15,social3,social2,0.9834469328140214,0.9834010418201715
9,20,social3,social2,0.9823874755381604,0.9823305670816045
10,0,social2,traditional1,0.5508637236084453,0.4444743161530505
11,5,social2,traditional1,0.9295366795366795,0.9292041694164782
12,10,social2,traditional1,0.9502439024390245,0.9500728253862133
13,15,social2,traditional1,0.9390962671905697,0.9389716575389089
14,20,social2,traditional1,0.9396039603960396,0.9393971586208796
15,0,traditional1,social2,0.682341650671785,0.6503919257120094
16,5,traditional1,social2,0.8736740597878495,0.8720169203303044
17,10,traditional1,social2,0.9166666666666666,0.9161878859992068
18,15,traditional1,social2,0.9483933787731256,0.9482804000285057
19,20,traditional1,social2,0.9510763209393346,0.9509589398685585
20,0,social2,russian,0.5636363636363636,0.385914078195024
21,5,social2,russian,0.9805825242718447,0.9801226520284758
22,10,social2,russian,0.9793926247288504,0.9788846902553533
23,15,social2,russian,0.9792802617230099,0.9787261060947392
24,20,social2,russian,0.9791666666666666,0.9785633431683647
25,0,russian,social2,0.7226487523992321,0.6984817855315553
26,5,russian,social2,0.9112825458052073,0.9104994558895267
27,10,russian,social2,0.9486434108527132,0.9484633511824616
28,15,russian,social2,0.9659201557935735,0.9658455471886358
29,20,russian,social2,0.9686888454011743,0.9686137215158773
30,0,social2,fake,0.5143953934740882,0.3736076262165451
31,5,social2,fake,0.5602700096432015,0.46531886024423336
32,10,social2,fake,0.9166666666666666,0.9163244295104593
33,15,social2,fake,0.9454722492697176,0.9453935025180211
34,20,social2,fake,0.949119373776908,0.9490413123607228
35,0,fake,social2,0.8953934740882917,0.8948775261815842
36,5,fake,social2,0.9450337512054002,0.9450090009628935
37,10,fake,social2,0.9505813953488372,0.9505679817043677
38,15,fake,social2,0.9493670886075949,0.9493497526480319
39,20,fake,social2,0.9481409001956947,0.9481146217988323
40,0,social3,traditional1,0.5700575815738963,0.44926264127793114
41,5,social3,traditional1,0.9536679536679536,0.9534038222958512
42,10,social3,traditional1,0.968780487804878,0.9686465239701147
43,15,social3,traditional1,0.9518664047151277,0.9516813499232337
44,20,social3,traditional1,0.9495049504950495,0.9492541812840436
45,0,traditional1,social3,0.5208747514910537,0.3620110732179697
