SVM,No add,Add 10000,Add 20000,Add 30000,Add 40000,,,,,,,,
G+S2->G+S2,0.54,0.46,0.46,0.49,0.56,,,,,,,,
G+S3->G+S2,0.77,0.72,0.33,0.74,0.75,,,,,,,,
G+T1->G+S2,0.24,0.28,0.74,0.81,0.32,,,,,,,,
G+F->G+S2,0.76,0.81,0.74,0.66,0.75,,,,,,,,
G+R->G+S2,0.75,0.67,0.81,0.72,0.81,,,,,,,,
G+S2->G+S3,0.93,0.9,0.8,0.81,0.86,,,,,,,,
G+S3->G+S3,0.72,0.56,0.59,0.65,0.72,,,,,,,,
G+T1->G+S3,0.79,0.66,0.52,0.78,0.7,,,,,,,,
G+F->G+S3,0.92,0.88,0.93,0.77,0.78,,,,,,,,
G+R->G+S3,0.88,0.84,0.92,0.93,0.9,,,,,,,,
G+S2->G+T1,0.59,0.59,0.61,0.59,0.59,,,,,,,,
G+S3->G+T1,0.57,0.42,0.59,0.61,0.62,,,,,,,,
G+T1->G+T1,0.58,0.64,0.62,0.68,0.63,,,,,,,,
G+F->G+T1,0.61,0.35,0.62,0.59,0.41,,,,,,,,
G+R->G+T1,0.58,0.59,0.62,0.42,0.62,,,,,,,,
G+S2->G+F,0.66,0.66,0.66,0.66,0.66,,,,,,,,
G+S3->G+F,0.66,0.65,0.66,0.66,0.66,,,,,,,,
G+T1->G+F,0.63,0.35,0.66,0.66,0.35,,,,,,,,
G+F->G+F,0.81,0.8,0.68,0.69,0.76,,,,,,,,
G+R->G+F,0.34,0.66,0.67,0.65,0.65,,,,,,,,
G+S2->G+R,0.67,0.67,0.67,0.62,0.67,,,,,,,,
G+S3->G+R,0.66,0.57,0.34,0.34,0.67,,,,,,,,
G+T1->G+R,0.62,0.61,0.61,0.67,0.64,,,,,,,,
G+F->G+R,0.66,0.67,0.33,0.67,0.67,,,,,,,,
G+R->G+R,0.65,0.66,0.67,0.7,0.7,,,,,,,,
Average,0.6636,0.6268,0.634,0.6628,0.658,,,,,,,,
,,,,,,,,,,,,,
RF,No add,Add 10000,Add 20000,Add 30000,Add 40000,,,,,,,,
G+S2->G+S2,0.43,0.61,0.51,0.5,0.5,,,,,,,,
G+S2->G+S3,0.63,0.94,0.94,0.93,0.93,,,,,,,,
G+S2->G+T1,0.51,0.69,0.6,0.61,0.64,,,,,,,,
G+S2->G+F,0.5,0.68,0.67,0.66,0.66,,,,,,,,
G+S2->G+R,0.48,0.5,0.68,0.67,0.67,,,,,,,,
G+S3->G+S2,0.6,0.78,0.81,0.81,0.81,,,,,,,,
G+S3->G+S3,0.47,0.49,0.58,0.55,0.51,,,,,,,,
G+S3->G+T1,0.54,0.73,0.63,0.61,0.6,,,,,,,,
G+S3->G+F,0.5,0.66,0.67,0.67,0.66,,,,,,,,
G+S3->G+R,0.49,0.52,0.69,0.68,0.68,,,,,,,,
G+T1->G+S2,0.51,0.72,0.81,0.81,0.81,,,,,,,,
G+T1->G+S3,0.54,0.91,0.94,0.94,0.93,,,,,,,,
G+T1->G+T1,0.45,0.6,0.51,0.5,0.5,,,,,,,,
G+T1->G+F,0.57,0.68,0.68,0.66,0.66,,,,,,,,
G+T1->G+R,0.49,0.64,0.68,0.67,0.67,,,,,,,,
G+F->G+S2,0.51,0.8,0.81,0.81,0.81,,,,,,,,
G+F->G+S3,0.49,0.93,0.94,0.93,0.93,,,,,,,,
G+F->G+T1,0.65,0.64,0.65,0.66,0.7,,,,,,,,
G+F->G+F,0.63,0.53,0.5,0.5,0.5,,,,,,,,
G+F->G+R,0.48,0.68,0.67,0.67,0.67,,,,,,,,
G+R->G+S2,0.42,0.74,0.81,0.81,0.81,,,,,,,,
G+R->G+S3,0.41,0.9,0.94,0.94,0.94,,,,,,,,
G+R->G+T1,0.42,0.66,0.6,0.6,0.59,,,,,,,,
G+R->G+F,0.45,0.65,0.67,0.67,0.67,,,,,,,,
G+R->G+R,0.42,0.6,0.52,0.51,0.5,,,,,,,,
Average,0.506666667,0.694583333,0.708333333,0.702916667,0.702083333,,,,,,,,
,,,,,,,,,,,,,
GDB,No add,Add 10000,Add 20000,Add 30000,Add 40000,,,,,,,,
G+S2->G+S2,0.78,0.78,0.79,0.79,0.76,,,,,,,,
G+S2->G+S3,0.6,0.74,0.82,0.87,0.89,,,,,,,,
G+S2->G+T1,0.54,0.69,0.73,0.74,0.76,,,,,,,,
G+S2->G+F,0.51,0.51,0.51,0.53,0.71,,,,,,,,
G+S2->G+R,0.47,0.62,0.65,0.67,0.76,,,,,,,,
G+S3->G+S2,0.57,0.56,0.56,0.57,0.61,,,,,,,,
G+S3->G+S3,0.94,0.94,0.94,0.94,0.94,,,,,,,,
G+S3->G+T1,0.53,0.69,0.73,0.74,0.76,,,,,,,,
G+S3->G+F,0.41,0.41,0.45,0.49,0.51,,,,,,,,
G+S3->G+R,0.5,0.58,0.64,0.66,0.67,,,,,,,,
G+T1->G+S2,0.54,0.52,0.51,0.55,0.74,,,,,,,,
G+T1->G+S3,0.58,0.65,0.74,0.76,0.94,,,,,,,,
G+T1->G+T1,0.85,0.85,0.79,0.8,0.79,,,,,,,,
G+T1->G+F,0.56,0.58,0.69,0.7,0.71,,,,,,,,
G+T1->G+R,0.49,0.62,0.67,0.68,0.76,,,,,,,,
G+F->G+S2,0.58,0.67,0.71,0.75,0.76,,,,,,,,
G+F->G+S3,0.58,0.86,0.9,0.92,0.94,,,,,,,,
G+F->G+T1,0.7,0.77,0.78,0.78,0.79,,,,,,,,
G+F->G+F,0.7,0.7,0.7,0.69,0.69,,,,,,,,
G+F->G+R,0.41,0.57,0.66,0.71,0.72,,,,,,,,
G+R->G+S2,0.45,0.44,0.52,0.55,0.6,,,,,,,,
G+R->G+S3,0.45,0.63,0.74,0.79,0.83,,,,,,,,
G+R->G+T1,0.45,0.66,0.71,0.7,0.71,,,,,,,,
G+R->G+F,0.46,0.46,0.47,0.49,0.51,,,,,,,,
G+R->G+R,0.85,0.85,0.85,0.85,0.85,,,,,,,,
Average,0.58,0.654,0.6904,0.7088,0.7484,,,,,,,,
,,,,,,,,,,,,,
LR,No add,Add 10000,Add 20000,Add 30000,Add 40000,,,,,,,,
G+S2->G+S2,0.82,0.82,0.82,0.82,0.82,,,,,,,,
G+S2->G+S3,0.63,0.89,0.94,0.95,0.96,,,,,,,,
G+S2->G+T1,0.56,0.77,0.8,0.82,0.82,,,,,,,,
G+S2->G+F,0.53,0.55,0.6,0.63,0.65,,,,,,,,
G+S2->G+R,0.49,0.7,0.76,0.79,0.81,,,,,,,,
G+S3->G+S2,0.61,0.61,0.66,0.7,0.72,,,,,,,,
G+S3->G+S3,0.96,0.96,0.96,0.96,0.96,,,,,,,,
G+S3->G+T1,0.56,0.8,0.83,0.85,0.86,,,,,,,,
G+S3->G+F,0.51,0.5,0.56,0.6,0.62,,,,,,,,
G+S3->G+R,0.51,0.72,0.78,0.81,0.83,,,,,,,,
G+T1->G+S2,0.58,0.59,0.66,0.7,0.73,,,,,,,,
G+T1->G+S3,0.63,0.86,0.93,0.95,0.96,,,,,,,,
G+T1->G+T1,0.89,0.89,0.89,0.89,0.87,,,,,,,,
G+T1->G+F,0.57,0.54,0.59,0.73,0.75,,,,,,,,
G+T1->G+R,0.53,0.71,0.77,0.8,0.82,,,,,,,,
G+F->G+S2,0.6,0.69,0.75,0.78,0.8,,,,,,,,
G+F->G+S3,0.57,0.89,0.94,0.95,0.96,,,,,,,,
