created_at,id,text,source,user_id,truncated,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,retweeted_status_id,geo,place,contributors,retweet_count,reply_count,favorite_count,favorited,retweeted,possibly_sensitive,num_hashtags,num_urls,num_mentions,timestamp
Sat Apr 20 13:19:19 +0000 2013,325599560959393793,https://t.co/iocNIgHxXH. @LovesOfaLDNgirl  here is the link!!!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10935572,,0,0,,,,,,0,0,0,,,,0,1,1,2013-04-20 15:19:19
Tue Apr 16 19:31:39 +0000 2013,324243711443730434,Well done hubby @Allan_76 http://t.co/AaeTwLucUG,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",10935572,,0,0,,,,,,0,0,0,,,,0,1,1,2013-04-16 21:31:39
Tue Apr 16 17:38:06 +0000 2013,324215137055670274,Two years with my lovely husband - thank you for the cotton flowers @Allan_76 http://t.co/R1x2vaWXEv,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",10935572,,0,0,,,,,,0,0,0,,,,0,1,1,2013-04-16 19:38:06
Sun Apr 14 15:33:00 +0000 2013,323458877003792386,Sorry bunny about your ears but I was hungry.... http://t.co/9xyGLpgiSB,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",10935572,,0,0,,,,,,0,0,0,,,,0,1,0,2013-04-14 17:33:00
Fri Apr 12 15:37:59 +0000 2013,322735354148945920,"Small man, big drink @Allan_76 http://t.co/4NUl8UD9IU","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",10935572,,0,0,,,,,,0,1,0,,,,0,1,1,2013-04-12 17:37:59
Fri Apr 12 10:08:17 +0000 2013,322652385631670272,"Last day, boo!!! http://t.co/arIk2pjiJA","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",10935572,,0,0,,,,,,0,0,0,,,,0,1,0,2013-04-12 12:08:17
Wed Apr 10 10:46:54 +0000 2013,321937327159132160,Mezze shots for lunch! http://t.co/vBBO2TKQ9c,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",10935572,,0,0,,,,,,0,0,0,,,,0,1,0,2013-04-10 12:46:54
Tue Apr 09 07:06:37 +0000 2013,321519503408246784,Ready to hit the beach for the day :0) http://t.co/ZmF2iEFeoF,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",10935572,,0,0,,,,,,0,0,0,,,,0,1,0,2013-04-09 09:06:37
Sun Apr 07 19:08:49 +0000 2013,320976472191942656,Night at the opera! http://t.co/Dj3y7n5PoS,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",10935572,,0,0,,,,,,0,0,0,,,,0,1,0,2013-04-07 21:08:49
Sun Apr 07 13:08:07 +0000 2013,320885700834762752,Lovely day in Muscat! @ Turtle Beach http://t.co/bkebJZmJGD,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",10935572,,0,0,,,,,,0,0,0,,,,0,1,0,2013-04-07 15:08:07
